"nd","modulo","explicacion_perfil","tecnicas","adaptaciones"
"Dislexia","3","La dislexia afecta principalmente a la lectura y la escritura, no a la inteligencia ni a la capacidad de comunicarse. Las personas con dislexia suelen tener un estilo de comunicación más oral, visual y narrativo: piensan en imágenes y en historias antes que en palabras escritas. El esfuerzo extra que requiere el texto escrito puede generar inseguridad al expresarse por escrito, pero no refleja sus capacidades reales.","Apóyate en la comunicación oral cuando puedas — explica en voz alta lo que te cuesta poner por escrito|Usa grabaciones de voz para tomar notas o responder mensajes cuando escribir se haga cuesta arriba|Si tienes que escribir, hazlo primero como borrador libre sin corregir: primero el contenido, luego la forma|Usa correctores ortográficos como apoyo, no como sustituto — son una herramienta, no una trampa|Practica el mapeo visual: esquemas, flechas y dibujos para organizar ideas antes de escribirlas","Pide que las instrucciones importantes te las den también de forma oral, no solo por escrito|En conversaciones formales, solicita tiempo extra para leer documentos antes de responder|Informa a personas de confianza de que prefieres comunicarte por voz o videollamada antes que por mensajes largos|En entornos familiares, normaliza el uso de notas de voz en lugar de texto escrito"
"TDAH","3","Las personas con TDAH tienen un estilo comunicativo vivo, espontáneo y asociativo: saltan entre ideas, hacen conexiones inesperadas y piensan en voz alta. Esto puede parecer desorganizado desde fuera, pero refleja una mente que procesa de forma no lineal. La impulsividad puede llevar a interrumpir o a decir cosas sin filtrar, no por falta de respeto sino porque el pensamiento va más rápido que el freno.","Antes de una conversación importante, anota los puntos clave que quieres decir para no perderte en el camino|Practica la pausa de 3 segundos antes de responder en situaciones de tensión — da tiempo al filtro de activarse|Usa listas cortas y puntos visuales para estructurar lo que quieres comunicar por escrito|Si interrumpes con frecuencia, acuerda una señal con personas cercanas para que te lo indiquen sin tensión|Cuando tengas que escribir algo largo, usa voz a texto y luego edita — es más fácil que empezar en blanco","Pide a familiares y amigos cercanos que te recuerden los temas pendientes sin juzgar el olvido|Acuerda formas directas de comunicación: mejor una llamada corta que un hilo de mensajes largo|En conversaciones importantes, pide que te den la información en bloques pequeños y concretos|Normaliza con tu entorno que necesitas confirmación de lo acordado por escrito para no olvidarlo"
"TEA","3","En el TEA, la comunicación suele ser directa, precisa y literal. Las personas autistas tienden a comunicarse de forma honesta y sin rodeos, lo que puede malinterpretarse como brusquedad. El lenguaje figurado, la ironía y las insinuaciones pueden resultar confusos porque el cerebro autista procesa el lenguaje de forma más literal. Esto no es un déficit: es una forma de comunicación diferente que tiene sus propias fortalezas.","Practica preguntar directamente cuando algo no queda claro — pedir aclaraciones no es debilidad|Crea un pequeño glosario personal de expresiones sociales que te resulten confusas y su significado probable|En comunicación escrita, te puede ayudar leer el mensaje en voz alta antes de enviarlo para detectar cómo puede sonar|Si el lenguaje no verbal te cuesta, es válido decirlo: 'no sé bien si eso es una broma o no'|Usa la escritura cuando necesites tiempo para procesar — es completamente válido responder más tarde","Pide a personas cercanas que sean directas contigo y eviten los rodeos o mensajes indirectos|Acuerda con tu entorno que pueden preguntarte directamente cómo estás en lugar de esperar señales no verbales|Normaliza que necesitas procesar antes de responder — no es descortesía, es tu ritmo|En situaciones sociales nuevas, está bien informar a alguien de confianza de que puede ayudarte a interpretar dinámicas grupales"
"AACC","3","Las personas con altas capacidades suelen tener un vocabulario muy amplio y un estilo de comunicación rico y complejo desde edades tempranas. Pueden tener dificultades para adaptar su lenguaje a distintos interlocutores, lo que a veces genera sensación de desconexión social. La intensidad con la que viven las ideas puede hacer que la comunicación sea muy apasionada en algunos momentos y muy directa en otros.","Practica el ajuste de registro: habla diferente con tu abuela que con un colega — ambos son válidos|Cuando notes que pierdes al interlocutor, prueba a hacer una pausa y preguntar: '¿te explico más o menos detalle?'|Trabaja la escucha activa: las AACC a veces van tan rápido que adelantan la respuesta antes de que el otro termine|Usa el humor y la analogía como puentes — conectan tu forma de pensar con la de los demás|Si sientes que nadie te entiende en conversaciones cotidianas, busca espacios donde tu nivel de comunicación sea bienvenido","Pide a tu entorno que te avisen cuando la conversación se ha vuelto unidireccional — sin drama, como señal|Normaliza con personas cercanas que a veces necesitas conversaciones profundas, no solo charla superficial|En familia, acuerda que está bien no saber de todo — la curiosidad no tiene que ser competitiva|Busca al menos un espacio social donde puedas comunicarte sin autocensurarte"
"Discalculia","3","La discalculia afecta al procesamiento numérico, no a la comunicación general. Sin embargo, puede generar dificultades específicas al comunicar cantidades, fechas, horas o instrucciones que implican números. Esto puede provocar inseguridad o evitación en situaciones donde los números son protagonistas.","Apóyate en referencias visuales para comunicar cantidades: 'más o menos como una taza' en lugar de '250ml'|Para fechas y horas, usa siempre un soporte externo — calendario, alarma, nota — y comunícalo abiertamente|Si tienes que dar instrucciones numéricas, escríbelas antes para revisarlas|Practica verbalizar la incertidumbre con los números: 'no estoy segura del número exacto, déjame comprobarlo'|Usa comparaciones y analogías en lugar de cifras cuando sea posible","Pide que las instrucciones con números te las den también por escrito o con referencia visual|Normaliza con tu entorno que necesitas confirmar fechas y cantidades — no es descuido sino estrategia|En contextos familiares, usa herramientas compartidas como calendarios digitales para evitar malentendidos de fechas"
"Dispraxia/TDC","3","La dispraxia afecta principalmente a la coordinación motora, pero también puede influir en la comunicación no verbal: los gestos, la expresión facial y la postura pueden no acompañar al mensaje verbal de forma sincronizada. Esto puede generar malentendidos en la lectura del lenguaje corporal. La comunicación oral suele estar intacta, aunque el procesamiento y la respuesta pueden ser algo más lentos.","Sé explícito/a verbalmente sobre tus intenciones y emociones — no des por sentado que el lenguaje corporal lo comunica|Practica delante del espejo para tomar conciencia de tu expresión facial en distintas situaciones|En conversaciones importantes, prioriza el contenido verbal sobre el no verbal|Si notas que la gente malinterpreta tu expresión, puedes decirlo directamente: 'sé que parezco serio pero estoy bien'|La escritura puede ser un canal más cómodo para comunicar cosas complejas o emocionalmente cargadas","Pide a personas cercanas que no lean demasiado en tu lenguaje corporal y que pregunten directamente|Normaliza que tu ritmo de respuesta puede ser diferente — no es desinterés|En entornos sociales nuevos, está bien presentarte brevemente explicando que tu expresión no verbal puede no coincidir con lo que sientes"
"Síndrome de Tourette","3","El síndrome de Tourette puede afectar a la comunicación cuando los tics vocales o motores interrumpen el flujo del habla o generan reacciones en el interlocutor. Esto puede crear ansiedad anticipatoria en situaciones comunicativas. La persona con Tourette tiene plena capacidad comunicativa — el reto está en gestionar el impacto social de los tics, no en la comunicación en sí.","Informa a personas de confianza sobre el Tourette de forma natural — la educación reduce la incomodidad de ambos lados|Practica respuestas breves y tranquilas para situaciones en que alguien reaccione a un tic: 'es un tic, no pasa nada'|En situaciones de alta tensión comunicativa, técnicas de relajación previas pueden reducir la frecuencia de tics|Elige entornos de comunicación donde te sientas cómodo/a — el estrés amplifica los tics|La comunicación escrita puede ser un canal alternativo valioso cuando los tics generan mucho estrés","Informa a familiares y amigos cercanos para que normalicen los tics sin comentarlos en cada momento|Pide que en conversaciones importantes no se interrumpa ni se reaccione a los tics|En entornos sociales nuevos, decide tú cuándo y cómo informar — es tu información y tu ritmo"
"SPD","3","El trastorno de procesamiento sensorial puede afectar a la comunicación en entornos con mucho ruido, luz intensa o movimiento. La sobrecarga sensorial dificulta el procesamiento del lenguaje y la formulación de respuestas, no porque haya un problema comunicativo sino porque el sistema nervioso está ocupado gestionando el entorno. En condiciones adecuadas, la comunicación suele ser completamente fluida.","Identifica tus umbrales sensoriales: ¿qué entornos dificultan tu comunicación? ¿Ruido, luz, multitud?|Comunica tus necesidades sensoriales antes de situaciones importantes: 'prefiero hablar en un sitio tranquilo'|Si estás en sobrecarga, es válido pedir una pausa antes de responder: 'dame un momento'|Usa comunicación escrita o mensajes de voz como alternativa cuando el entorno no es el adecuado|Practica identificar y nombrar tu estado sensorial — eso te ayuda a comunicarlo a los demás","Pide a tu entorno que las conversaciones importantes sean en espacios tranquilos y sin distractores|Normaliza que necesitas condiciones específicas para comunicarte bien — no es exigencia, es necesidad|En familia, acuerda una señal de 'necesito bajar el volumen' para situaciones de sobrecarga"
"Tartamudez","3","La tartamudez es una disfluencia del habla que afecta al flujo y ritmo de la comunicación oral. No está relacionada con la inteligencia ni con la claridad de pensamiento. El mayor impacto suele venir del entorno — las reacciones de los demás, la presión para hablar rápido y la anticipación a situaciones difíciles pueden aumentar la disfluencia y la ansiedad comunicativa.","Practica hablar a tu propio ritmo sin intentar compensar — la prisa aumenta la disfluencia|El contacto visual puede ser difícil en momentos de mayor disfluencia — no pasa nada si lo reduces|Técnicas de respiración diafragmática antes de situaciones de habla pública pueden reducir la tensión|Identifica tus situaciones de mayor disfluencia y prepárate para ellas con antelación|La comunicación escrita puede ser un apoyo complementario, no un sustituto — el objetivo es sentirte cómodo/a en ambas","Pide a personas cercanas que no terminen tus frases ni te corrijan — que simplemente escuchen|Normaliza con tu entorno que necesitas tiempo para hablar sin que sientan que tienen que rellenar el silencio|En situaciones sociales nuevas, decide tú cuándo informar sobre la tartamudez — no tienes obligación de explicarte"
"Discapacidad Intelectual","3","Las personas con discapacidad intelectual pueden tener un estilo comunicativo más concreto, directo y centrado en el presente. El procesamiento del lenguaje abstracto o complejo puede ser más lento, pero la comunicación de necesidades, emociones y experiencias es completamente posible y rica. El entorno tiene mucha responsabilidad en adaptar su lenguaje para facilitar la comunicación.","Usa lenguaje claro y directo — frases cortas, palabras concretas, un mensaje cada vez|Los apoyos visuales como pictogramas, fotos o gestos pueden complementar la comunicación oral|Practica pedir que te repitan o expliquen de otra manera cuando algo no queda claro|La repetición y la rutina en los intercambios comunicativos ayudan a consolidar la comprensión|Celebra y refuerza los intercambios comunicativos exitosos — la confianza es parte de la habilidad","Pide a familiares y personas cercanas que usen frases cortas, lenguaje concreto y apoyo visual cuando sea necesario|Acuerda señales o palabras clave para situaciones recurrentes — simplifica los intercambios cotidianos|Normaliza que necesitas más tiempo para procesar y responder — la pausa es parte de tu comunicación"
"TOC","3","El TOC puede afectar a la comunicación cuando las obsesiones generan dudas sobre lo dicho, miedo a haber ofendido o necesidad de pedir reaseguración repetida. Esto puede crear patrones comunicativos de verificación que resultan agotadores para la persona y para su entorno. La comunicación en sí no está deteriorada, pero la ansiedad la puede distorsionar.","Practica tolerar la incertidumbre comunicativa: no siempre puedes saber cómo ha sonado algo|Limita los comportamientos de reaseguración — preguntar repetidamente 'te ha molestado lo que dije' mantiene el ciclo|Identifica tus patrones de comunicación obsesiva y trabájalos con apoyo profesional si son muy limitantes|La escritura puede paradójicamente aumentar las compulsiones de revisión — úsala con conciencia|Practica comunicar de forma suficientemente buena, no perfecta","Pide a personas cercanas que no respondan a peticiones repetidas de reaseguración — es parte del manejo del TOC|Acuerda con tu entorno que pueden redirigirte con calma cuando detecten el patrón|Normaliza que puedes cometer errores comunicativos y que no tienen consecuencias catastróficas"
"Mutismo Selectivo","3","El mutismo selectivo es una respuesta de ansiedad que impide hablar en determinados contextos sociales, no una elección ni una falta de habilidad comunicativa. La persona puede comunicarse perfectamente en entornos seguros. El reto está en ampliar gradualmente los contextos en los que la comunicación oral es posible, sin forzar.","Identifica tus entornos seguros de comunicación y úsalos como base para expandirte gradualmente|La comunicación alternativa — escritura, gestos, señalar, mensajes — es completamente válida mientras se trabaja la oral|El objetivo no es hablar en todos los contextos sino reducir el sufrimiento asociado — a tu ritmo|Practica la exposición gradual: desde susurrar a una persona de confianza hasta hablar en grupos pequeños|Celebra cada pequeño avance sin presión por el siguiente","Pide a familiares y amigos que no presionen para hablar ni llamen la atención sobre el silencio|Acuerda formas alternativas de comunicación para situaciones en que hablar no sea posible|Normaliza con el entorno que el silencio no es rechazo ni malestar — es una respuesta de ansiedad|Informa a personas clave de tu entorno social para que puedan actuar como puente en situaciones nuevas"
"Trastorno de Ansiedad Social","3","La ansiedad social afecta directamente a la comunicación en situaciones donde hay evaluación social percibida. El miedo al juicio puede generar bloqueo, habla acelerada, evitación de participar o dificultad para mantener conversaciones. La capacidad comunicativa está intacta — es la ansiedad la que interfiere.","Prepara mentalmente las conversaciones importantes: qué quieres decir, cómo quieres decirlo|Practica la respiración antes de situaciones comunicativas difíciles para bajar la activación|Trabaja la tolerancia al silencio — no tienes que llenar cada pausa|Busca entornos de práctica social de bajo riesgo donde la comunicación sea más fácil|El rol de observador/a activo/a en grupos es completamente válido — escuchar también es comunicar","Pide a personas cercanas que no te pongan en el foco de conversaciones grupales sin avisarte|Acuerda con tu entorno que puedes salir de situaciones sociales sin dar explicaciones largas|Normaliza que necesitas tiempo de recuperación después de situaciones sociales intensas"
"TANV","3","El trastorno de aprendizaje no verbal afecta especialmente a la comunicación no verbal: el lenguaje corporal, el tono de voz, la expresión facial y la distancia social pueden no interpretarse ni expresarse de forma típica. El lenguaje verbal suele estar preservado e incluso ser un punto fuerte. La dificultad está en integrar los canales no verbales de la comunicación.","Apóyate en tu fortaleza verbal: cuando no estés seguro/a de cómo leer una situación, pregunta directamente|Practica identificar emociones en el tono de voz — escucha podcasts o audios y trata de inferir el estado emocional|El texto escrito puede ser más cómodo porque elimina la carga no verbal|Aprende reglas explícitas de comunicación social — para el TANV, lo que es implícito para otros puede volverse explícito|Trabaja con un profesional los aspectos pragmáticos del lenguaje si generan muchos malentendidos","Pide a personas cercanas que sean explícitas sobre sus estados emocionales en lugar de esperar que los infiera|Normaliza que necesitas más contexto verbal para entender situaciones — no es descuido|Acuerda con tu entorno que pueden avisarte cuando hayas malinterpretado una situación, sin drama"
"Dislexia","4","La dislexia afecta a la decodificación lectora y a la escritura, pero no a la comprensión ni a la inteligencia. Las personas con dislexia suelen aprender mejor a través de canales auditivos, visuales y cinestésicos. El aprendizaje basado en texto denso es el más costoso; el aprendizaje multimodal es donde brillan.","Usa audiolibros, podcasts y vídeos como alternativa o complemento a los textos|Cuando leas, usa una regla o el dedo para seguir la línea — reduce el esfuerzo de seguimiento visual|Toma apuntes con mapas mentales o esquemas visuales en lugar de texto lineal|Escucha las notas en voz alta o usa síntesis de voz para repasar|Estudia en sesiones cortas con descansos frecuentes — el esfuerzo lector agota más rápido","Solicita materiales en formatos accesibles: texto digital (para usar lector de pantalla), fuente mayor, interlineado amplio|Pide tiempo extra en evaluaciones escritas — es una adaptación reconocida|En clase o formación, solicita poder grabar las explicaciones en lugar de depender solo de los apuntes|Comunica al profesorado o formadores que tu ritmo lector es diferente, no tu nivel de comprensión"
"TDAH","4","El cerebro con TDAH aprende mejor cuando hay interés, novedad, desafío o urgencia. No es falta de voluntad: es que el sistema de motivación funciona de forma diferente. La función ejecutiva — planificar, iniciar, sostener y completar tareas — es el área de mayor dificultad. Las estrategias más efectivas son las que externalizan esas funciones.","Usa el método Pomodoro: 25 minutos de trabajo + 5 de descanso. El límite temporal activa la concentración|Fragmenta cada tarea en pasos tan pequeños que el primero tarde menos de 2 minutos en hacerse|Externaliza la función ejecutiva: listas físicas, alarmas, calendarios visuales — saca el plan de tu cabeza|Estudia con música instrumental o ruido blanco si el silencio absoluto aumenta la distracción|Alterna tipos de tareas para mantener la novedad — primero lo difícil, cuando el cerebro está fresco","Solicita instrucciones por escrito además de verbales para poder consultarlas después|Pide la posibilidad de hacer pausas activas durante trabajos o estudios largos|En entornos educativos, solicita sentarte en lugares con menos distractores visuales|Comunica que necesitas retroalimentación frecuente — los plazos muy largos sin checkpoints son especialmente difíciles"
"TEA","4","Las personas autistas suelen tener un estilo de aprendizaje muy centrado en el detalle, sistemático y profundo en sus áreas de interés. Aprenden bien cuando las reglas son claras, el entorno es predecible y se les da tiempo suficiente para procesar. Los cambios inesperados y la ambigüedad en las instrucciones son los mayores obstáculos.","Necesitas instrucciones claras y explícitas — si algo es ambiguo, pregunta hasta que quede claro|Crea rutinas de estudio estables: mismo horario, mismo lugar, misma secuencia|Usa esquemas, tablas y estructuras visuales para organizar la información|Cuando aprendes algo nuevo, conectarlo con algo que ya sabes bien acelera la integración|Dale a tu hiperfoco un papel en el aprendizaje — estudiar a través de tus intereses es completamente válido","Solicita que las instrucciones de tareas y evaluaciones sean claras, detalladas y por escrito|Pide tiempo adicional para procesar instrucciones nuevas o cambios de última hora|En entornos educativos, solicita que los cambios de rutina se comuniquen con antelación|Comunica que necesitas saber los criterios de evaluación con claridad antes de empezar"
"AACC","4","Las personas con altas capacidades aprenden con gran rapidez, especialmente en sus áreas de interés. El ritmo estándar de enseñanza puede resultar insuficiente, lo que genera aburrimiento, desconexión o conductas disruptivas que no reflejan falta de capacidad sino exceso de ella. Necesitan profundidad, no solo velocidad.","Busca profundidad en los temas en lugar de solo amplitud — las AACC aprenden mejor cuando van a fondo|Usa el tiempo libre entre tareas para explorar conexiones entre materias o proyectos propios|Proponte retos adicionales cuando el nivel estándar se quede corto|Aprende a manejar el perfeccionismo: hecho y bueno es mejor que perfecto y bloqueado|Cultiva la tolerancia a la frustración — las AACC no siempre tienen facilidad en todo y eso puede sorprenderles","Solicita enriquecimiento curricular o proyectos de ampliación en lugar de más ejercicios del mismo nivel|Pide agrupamiento flexible con alumnos de nivel similar para tareas concretas|En trabajo o formación, propón proyectos de mayor complejidad cuando el nivel estándar resulte insuficiente|Comunica cuando el ritmo es demasiado lento — el aburrimiento tiene consecuencias reales"
"Discalculia","4","La discalculia afecta al procesamiento numérico y al sentido del número: comprender cantidades, recordar hechos aritméticos y manejar operaciones matemáticas puede requerir mucho más esfuerzo que en otras personas. No está relacionada con la inteligencia. Las estrategias más efectivas son las que hacen visible y manipulable lo que para otros es abstracto.","Usa representaciones visuales y manipulables: líneas numéricas, bloques, diagramas|Desglosa cada operación matemática en pasos explícitos escritos — no intentes hacerlo todo en la cabeza|Usa la calculadora como herramienta de apoyo — no es trampa, es accesibilidad|Conecta los números con contextos reales concretos para darles significado|Repite con variación: el mismo concepto desde distintos ángulos hasta que se asiente","Solicita el uso de calculadora en evaluaciones que midan comprensión, no cálculo mecánico|Pide tiempo extra en pruebas con componente numérico|En clase o formación, solicita ejemplos concretos y contextualizados antes de los abstractos|Comunica que necesitas ver los pasos intermedios, no solo el resultado"
"Dispraxia/TDC","4","La dispraxia afecta a la planificación y ejecución motora, lo que puede dificultar la escritura a mano, el uso de materiales y la organización del espacio de trabajo. El aprendizaje en sí no está comprometido, pero los canales motores por los que se expresa sí. Las estrategias más útiles son las que reducen la demanda motora y externalizan la organización.","Usa el teclado en lugar de escritura a mano siempre que sea posible|Organiza el espacio de trabajo de forma estable y predecible — un lugar para cada cosa|Fragmenta las tareas complejas en pasos secuenciales muy concretos|El aprendizaje a través del movimiento y la práctica puede ser más efectivo que el puramente teórico|Usa grabaciones de audio o vídeo para repasar contenidos cuando tomar apuntes es muy costoso","Solicita el uso de ordenador o tablet para tareas escritas|Pide tiempo adicional en evaluaciones con componente escrito o manipulativo|En entornos educativos, solicita que los materiales estén organizados y etiquetados de forma clara|Comunica que la calidad de tu letra no refleja tu nivel de conocimiento"
"Síndrome de Tourette","4","El síndrome de Tourette en sí no afecta directamente al aprendizaje, pero los tics pueden interferir en la concentración y en la escritura. La supresión activa de tics durante el aprendizaje consume energía cognitiva significativa. La comorbilidad frecuente con TDAH o TOC puede añadir dificultades adicionales en función ejecutiva o atención.","Identifica los momentos del día en que los tics son menos frecuentes y úsalos para las tareas más exigentes|Busca entornos de estudio donde puedas liberar tics sin presión social — reduce la carga cognitiva de suprimirlos|Si hay comorbilidad con TDAH, aplica también las estrategias de función ejecutiva|El movimiento y las pausas activas ayudan a regular los tics y a sostener la atención|Usa tecnología de apoyo: dictado por voz, teclado, audiolibros — reduce la demanda motora fina","Solicita un entorno de examen donde los tics no interfieran con otros estudiantes|Pide tiempo adicional si la supresión de tics durante pruebas genera fatiga cognitiva|En clase, solicita flexibilidad en la postura y posibilidad de pequeños movimientos sin que genere atención"
"SPD","4","El procesamiento sensorial atípico puede hacer que el entorno de aprendizaje estándar sea agotador: las luces fluorescentes, el ruido de fondo, la ropa incómoda o el olor de la sala pueden consumir recursos cognitivos antes de que empiece la tarea. Optimizar el entorno sensorial no es un capricho — es una condición para que el aprendizaje pueda suceder.","Diseña tu espacio de estudio con tus necesidades sensoriales: luz cálida, temperatura cómoda, silencio o ruido controlado|Usa auriculares con cancelación de ruido para estudiar en entornos no controlados|Identifica qué estimulación sensorial te ayuda a concentrarte — para algunos es música, para otros silencio total|Toma descansos sensoriales activos: salir al aire libre, movimiento, cambio de entorno|Estudia cuando tu sistema sensorial esté más regulado — no durante ni justo después de una sobrecarga","Solicita poder usar auriculares o tapones durante clases o pruebas|Pide un espacio con menos estímulos sensoriales para evaluaciones si el entorno estándar genera sobrecarga|En casa o trabajo, negocia condiciones de entorno que favorezcan tu concentración|Comunica tus necesidades sensoriales como parte de tu forma de funcionar, no como queja"
"Tartamudez","4","La tartamudez no afecta al aprendizaje ni a la comprensión. El mayor impacto en el entorno educativo y laboral viene de las situaciones de habla pública: leer en voz alta, participar oralmente o hacer presentaciones puede generar ansiedad anticipatoria que interfiere con el rendimiento. La evaluación basada solo en expresión oral puede ser inequitativa.","Prepara con antelación las intervenciones orales que sean predecibles — guión, puntos clave, práctica previa|Identifica qué situaciones de habla son más difíciles y trabájalas gradualmente con apoyo si es posible|El conocimiento profundo del tema reduce la ansiedad y, con ella, la disfluencia|Las evaluaciones escritas son un canal completamente equivalente — no las evites por preferir el oral|Trabaja la aceptación de la disfluencia: intentar ocultarla genera más tensión que gestionarla abiertamente","Solicita alternativas a la lectura en voz alta o participación oral obligatoria|Pide que las presentaciones puedan hacerse en formato escrito, visual o grabado|En entornos educativos, comunica la tartamudez al profesorado para que no se reaccione ante las disfluencias|Solicita tiempo adicional en evaluaciones orales"
"Discapacidad Intelectual","4","El aprendizaje con discapacidad intelectual requiere más tiempo, más repetición y más apoyos concretos. El aprendizaje funcional y contextualizado — aprender haciendo, en situaciones reales — suele ser más efectivo que el abstracto. La motivación y el entorno de seguridad son factores especialmente importantes.","Aprende haciendo: conecta cada contenido con una aplicación práctica concreta|Usa apoyos visuales constantes: pictogramas, esquemas, colores, imágenes|Divide cada tarea en pasos muy pequeños y celebra cada paso completado|La repetición en contextos variados consolida el aprendizaje mejor que el estudio intensivo|Trabaja con rutinas claras y predecibles — la estructura reduce la carga cognitiva","Solicita materiales adaptados: texto simplificado, apoyo visual, pasos desglosados|Pide tiempo adicional y posibilidad de hacer las tareas en varias sesiones|En entornos educativos, solicita apoyo individualizado o trabajo en grupos pequeños|Comunica qué formatos de evaluación son más accesibles para ti"
"TOC","4","El TOC puede interferir en el aprendizaje a través de las compulsiones: revisar repetidamente los apuntes, reescribir hasta que 'quede bien', no poder pasar al siguiente punto hasta haber resuelto el anterior perfectamente. Esto genera bloqueos, agotamiento y sensación de no avanzar aunque se esté trabajando mucho.","Practica el aprendizaje suficientemente bueno: pasar página aunque no esté perfecto es parte del proceso|Pon límites de tiempo a las revisiones — cuando suena el temporizador, se pasa al siguiente tema|Usa el borrador como herramienta: escribir mal a propósito para luego mejorar rompe el ciclo perfectcionista|Identifica cuándo estás en un bucle compulsivo de estudio y aplica una interrupción deliberada|Trabaja con apoyo profesional las compulsiones relacionadas con el estudio si son muy limitantes","Comunica al profesorado o formadores que necesitas límites de tiempo claros para las tareas — los plazos abiertos aumentan las compulsiones|Solicita feedback parcial durante el proceso, no solo al final — reduce la incertidumbre que alimenta el TOC|Acuerda con personas de apoyo señales para identificar y salir de bucles de revisión"
"Mutismo Selectivo","4","El mutismo selectivo afecta principalmente a la participación oral en entornos educativos o laborales donde hay evaluación social. El aprendizaje en sí suele estar completamente preservado. El mayor reto es demostrar ese aprendizaje en un sistema que valora mucho la expresión oral.","Identifica los formatos de evaluación y participación donde te sientes más cómodo/a y úsalos siempre que puedas|La escritura, los proyectos y las entregas digitales son completamente equivalentes a la expresión oral|Trabaja la exposición gradual al entorno de aprendizaje: desde observar hasta participar, a tu ritmo|El aprendizaje autónomo — lectura, vídeos, práctica individual — puede ser especialmente cómodo|Celebra la participación en cualquier formato, no solo la oral","Solicita alternativas a la participación oral obligatoria: entregas escritas, grabaciones, proyectos|Pide que el profesorado no te llame a participar de forma inesperada|Comunica con antelación al profesorado o responsables para que puedan crear condiciones de seguridad|En trabajo, solicita poder contribuir por escrito en reuniones o presentaciones"
