pregunta_id,universo_id,dimension,modulo,texto,opcion_a,puntuacion_a,opcion_b,puntuacion_b,opcion_c,puntuacion_c,opcion_d,puntuacion_d,opcion_e,puntuacion_e
1,0,universo,0,Cuando escapas a un mundo de ficción ¿qué buscas?,Un mundo con reglas mágicas propias donde el bien y el mal están claros,A,Un mundo donde las criaturas son tus aliadas y el vínculo con ellas lo es todo,B,Un mundo que te emociona y te hace sentir que todo tiene alma,C,Un mundo oscuro y complejo donde nadie es completamente bueno ni malo,D,Un mundo donde crecer y superarte junto a tu equipo es lo que importa,E
2,0,universo,0,¿Qué tipo de compañero de aventura necesitas?,Alguien sabio que te guíe aunque no siempre te diga todo,A,Una criatura que te entiende sin palabras y daría su vida por ti,B,Alguien que te quiere tal como eres y te ayuda a crecer,C,Un aliado con su propio código moral que no siempre coincide con el tuyo,D,Un equipo que se convierte en tu familia aunque empezarais como rivales,E
3,0,universo,0,¿Qué tipo de historia te atrapa más?,La del protagonista que descubre que el mundo es más grande y más mágico de lo que creía,A,La del vínculo entre especies diferentes que cambia el mundo,B,La del viaje interior donde lo más importante es lo que sientes,C,La de supervivencia en un mundo donde los errores tienen consecuencias reales,D,La del héroe que empieza desde cero y se convierte en leyenda,E
4,0,universo_A,0,¿Qué tipo de magia te atrae más?,La magia que se aprende y se domina con esfuerzo y conocimiento,A,La magia que forma parte de tu alma y define quién eres,B,La magia antigua que existe en la naturaleza y en los símbolos,C,La magia de los dioses y los mitos que siempre estuvo entre nosotros,D,La magia que transforma el mundo ordinario en algo extraordinario,E
5,0,universo_A,0,¿Qué compañero elegirías?,Un amigo leal que siempre está aunque no sea perfecto,A,Tu alma externalizada en forma de animal que te conoce mejor que tú mismo,B,Una presencia silenciosa que te acompaña sin necesitar palabras,C,Un semidiós como tú con los mismos poderes y los mismos problemas,D,Un guía sabio y poderoso que aparece cuando más lo necesitas,E
6,0,universo_A,0,¿Qué tipo de aventura vivirías?,Aprender que el amor y la lealtad son la magia más poderosa que existe,A,Seguir la verdad aunque eso signifique enfrentarte a quienes tienen el poder,B,Cruzar un umbral inesperado y descubrir que lo que creías imposible es completamente real,C,Descubrir que llevas toda la vida siendo más de lo que creías,D,Explorar en silencio un mundo antiguo lleno de secretos esperando ser descubiertos,E
7,0,universo_A,0,¿Qué valor define mejor tu forma de estar en el mundo?,La valentía de hacer lo correcto aunque tengas miedo,A,La curiosidad de buscar la verdad aunque sea incómoda,B,La inocencia de creer que el bien siempre puede ganar,C,La determinación de demostrar que tus diferencias son tu mayor fortaleza,D,La paciencia de observar y entender antes de actuar,E
8,0,universo_B,0,¿Cómo imaginas tu relación con tu compañero de viaje?,Muchos compañeros distintos con los que crecer y aprender de cada uno,A,Un único compañero con el que compartirías una conexión única e irrompible,B,Un compañero que crece y evoluciona contigo reflejando quién eres por dentro,C,Un compañero fiel que te sigue sin importar el peligro que os espere,D,Una conexión tan profunda que literalmente sientes lo que siente tu compañero,E
9,0,universo_B,0,¿Qué tipo de aventura vivirías?,Recorrer el mundo conociendo nuevos compañeros y superando desafíos uno a uno,A,Demostrar que el miedo y los prejuicios se vencen con valentía y confianza,B,Crecer emocionalmente junto a tu compañero mientras el mundo os necesita,C,Embarcarte en una misión épica clásica donde cada paso del camino importa,D,Formar parte de algo más grande que tú mismo — una naturaleza viva que te necesita,E
10,0,universo_B,0,¿Qué valor define mejor tu forma de estar en el mundo?,La amistad que no distingue entre especies ni diferencias,A,El coraje de cambiar lo que siempre se ha hecho igual,B,La lealtad que crece y se transforma junto a quien quieres,C,La determinación silenciosa de seguir adelante pase lo que pase,D,El respeto profundo hacia todo lo vivo y la conexión que nos une,E
11,0,universo_B,0,¿En qué tipo de mundo te gustaría vivir?,Un mundo donde cada rincón esconde un nuevo compañero por descubrir,A,Un mundo donde los considerados enemigos resultan ser tus mejores aliados,B,Un mundo digital paralelo al nuestro donde tus emociones tienen forma propia,C,Un mundo de pueblos y mazmorras donde cada camino lleva a una nueva historia,D,Un planeta vivo donde todo está conectado y cada ser forma parte de algo mayor,E
12,0,universo_C,0,¿Qué tipo de experiencia buscas cuando te sumerges en una historia?,La que afecta a todos tus sentidos desde la calma — te envuelve sin que te des cuenta,A,La que te sumerge de lleno y te hace desear vivir esa aventura con sus personajes,B,,,,,,
13,0,universo_C,0,¿Qué te queda después de ver una historia que te ha impactado?,Una sensación difícil de describir que te acompaña días después,A,Las ganas de volver a vivirla y compartirla con alguien,B,,,,,,
14,0,universo_C,0,¿Con qué tipo de protagonista conectas más?,El que crece en silencio enfrentándose solo a un mundo que no entiende del todo,A,El que encuentra su lugar en el mundo rodeado de quienes le quieren tal como es,B,,,,,,
15,0,universo_D,0,¿Qué tipo de conflicto te atrapa más?,El juego de poder donde nadie es completamente inocente ni completamente culpable,A,La elección moral imposible donde cualquier camino tiene un precio,B,La lucha épica donde la amistad y la esperanza son la única arma real,C,,,,
16,0,universo_D,0,¿Con qué tipo de protagonista conectas más?,El que sobrevive en un mundo cruel aprendiendo que los ideales tienen un coste,A,El que carga con el peso de sus decisiones sabiendo que no hay respuestas perfectas,B,El que demuestra que la fe en el bien merece ser defendida aunque el precio sea alto,C,,,,
17,0,universo_D,0,¿En qué tipo de mundo te gustaría vivir?,Un mundo de intrigas y poder donde la información es tu mayor baza,A,Un mundo donde tus decisiones cambian el curso de la historia y nadie te juzga por ello,B,Un mundo antiguo y majestuoso donde el bien y el mal tienen nombre y forma propios,C,,,,
18,0,universo_D,0,¿Qué valor define mejor tu forma de estar en el mundo?,La astucia de leer a las personas y anticiparte a lo que no dicen,A,La responsabilidad de asumir las consecuencias de tus propias elecciones,B,La fe inquebrantable en que el bien merece ser defendido aunque el precio sea alto,C,,,,
19,0,universo_E,0,¿Qué te mueve a seguir adelante cuando todo se complica?,Demostrarle al mundo y a ti mismo que eres capaz de más de lo que creen,A,Alcanzar tu sueño aunque todo el mundo diga que es imposible,B,Cumplir con la responsabilidad que te ha tocado aunque no la hayas elegido,C,,,,
20,0,universo_E,0,¿Cómo es el equipo con el que quieres vivir la aventura?,Rivales que se convierten en hermanos forjados en el dolor y la superación,A,Una tripulación de inadaptados que se eligen como familia y se siguen hasta el fin del mundo,B,Compañeros que te ayudan a cargar con una responsabilidad que es demasiado grande para uno solo,C,,,,
21,0,universo_E,0,¿En qué tipo de mundo te gustaría vivir?,Un mundo donde el esfuerzo y la determinación pueden cambiar tu destino,A,Un mundo sin límites donde la libertad y la aventura esperan en cada horizonte,B,Un mundo de culturas diversas en equilibrio frágil que alguien debe proteger,C,,,,
22,0,universo_E,0,¿Qué valor define mejor tu forma de estar en el mundo?,La perseverancia de levantarte cada vez que te derriban,A,La libertad de seguir tu propio camino sin que nadie te diga cómo vivir,B,El equilibrio de entender que tus necesidades y las del mundo deben coexistir,C,,,,
23,1,hiperfoco,1,En Hogwarts ¿cómo eras con tus asignaturas favoritas?,Me obsesionaba con ellas — estudiaba más allá de lo pedido y perdía la noción del tiempo,5,Me gustaban y me esforzaba pero sabía cuándo parar,3,Las disfrutaba igual que las demás sin obsesionarme con ninguna,1,Pasaba bastante de casi todas — nada me enganchaba especialmente,0,,
24,1,hiperfoco,1,Si pudieras especializarte en una sola área de la magia como Hagrid con las criaturas ¿lo harías?,Sin duda — prefiero dominar un área completamente que saber un poco de todo,5,Me gustaría especializarme pero sin perder la variedad,3,Prefiero explorar muchas áreas sin centrarme demasiado en ninguna,1,No me llama especialmente ningún área en concreto,0,,
25,1,hiperfoco,1,Cuando algo te apasiona de verdad ¿qué pasa con lo demás?,Lo demás desaparece — solo existe eso que me apasiona hasta que lo agoto,5,Me cuesta mantener el equilibrio pero lo intento,3,Soy capaz de mantener el interés en varias cosas a la vez sin problema,1,Pocas cosas me apasionan lo suficiente como para que afecten a lo demás,0,,
26,1,regulacion_emocional,1,Cuando algo te parece injusto ¿cómo reaccionas?,Exploto — no puedo evitar reaccionar con intensidad aunque luego me arrepienta,0,Me afecta mucho pero consigo gestionarlo sin perder el control,2,Lo proceso internamente y respondo cuando estoy calmado,4,Generalmente no me afecta demasiado — lo dejo pasar con facilidad,5,,
27,1,regulacion_emocional,1,Cuando estás bajo mucha presión como en los exámenes finales de Hogwarts ¿cómo te comportas?,Me bloqueo o exploto — la presión me desborda completamente,0,Me pongo nervioso pero puedo seguir funcionando,2,La presión me activa — rindo mejor cuando hay mucho en juego,4,Me mantengo tranquilo — la presión apenas me afecta,5,,
28,1,regulacion_emocional,1,Después de una discusión fuerte con alguien importante para ti ¿cuánto tardas en recuperarte?,Mucho tiempo — las emociones intensas me acompañan días o semanas,0,Unas horas o un día — necesito mi tiempo pero lo supero,2,Relativamente poco — proceso y sigo adelante con cierta facilidad,4,Casi nada — tengo mucha capacidad para soltar y seguir,5,,
29,1,sensorialidad,1,En el Gran Comedor de Hogwarts con cientos de estudiantes ruido y olores fuertes ¿cómo te sientes?,Me resulta insoportable — el ruido y el ambiente me saturan completamente,0,Me cuesta pero puedo manejarlo con esfuerzo,2,No me afecta especialmente — lo disfruto como parte del ambiente,4,Me encanta — cuanta más actividad y estímulos a mi alrededor mejor,5,,
30,1,sensorialidad,1,¿Cómo reaccionas ante texturas sabores u olores intensos?,Soy muy sensible — algunos me resultan insoportables y los evito activamente,0,Me afectan más que a la mayoría pero puedo tolerarlos,2,No tengo especial sensibilidad — los proceso como cualquier persona,4,Los busco activamente — me gustan las experiencias sensoriales intensas,5,,
31,1,sensorialidad,1,Cuando el entorno es caótico como en una batalla en Hogwarts ¿cómo procesas lo que pasa?,Me sobrepaso — demasiada información sensorial a la vez me paraliza,0,Me cuesta filtrar pero puedo reaccionar aunque tarde más,2,Me adapto con relativa facilidad al caos del entorno,4,El caos me activa — proceso mejor cuando hay mucho estímulo,5,,
32,1,comunicacion,1,Cuando tienes algo importante que decir ¿cómo lo haces?,Lo digo directamente aunque a veces resulte brusco — prefiero la claridad al tacto,5,Busco el momento adecuado y elijo las palabras con cuidado,3,Me cuesta expresarlo — prefiero que la otra persona lo intuya,2,Evito decirlo directamente — uso rodeos o lo dejo para otro momento,0,,
33,1,comunicacion,1,En una conversación de grupo como en la sala común de Gryffindor ¿cómo participas?,Tomo la iniciativa — me gusta liderar la conversación y expresar mis ideas,5,Participo cuando tengo algo relevante que aportar,3,Escucho más que hablo — me cuesta entrar en conversaciones de grupo,2,Prefiero observar — las conversaciones de grupo me agotan,0,,
34,1,comunicacion,1,Cuando alguien no entiende lo que quieres decir ¿qué haces?,Lo explico de otra manera con ejemplos concretos hasta que lo entiende,5,Lo intento una vez más pero si no lo entiende lo dejo estar,3,Me frustro — me cuesta encontrar otras formas de explicarme,2,Me bloqueo — prefiero no insistir aunque quede sin resolver,0,,
35,1,aprendizaje,1,¿Cómo aprendes mejor un hechizo nuevo?,Leyendo y entendiendo la teoría primero — necesito saber el porqué antes de intentarlo,5,Combinando teoría y práctica — un poco de cada cosa,3,Probando directamente — aprendo haciendo aunque me equivoque al principio,2,Relacionándolo con algo que ya sé — aprendo por conexiones y asociaciones,0,,
36,1,aprendizaje,1,En clase de Pociones ¿qué tipo de estudiante eres?,El que toma notas detalladas y estudia el manual antes de la clase,5,El que presta atención y practica con cuidado siguiendo las instrucciones,3,El que aprende probando variaciones aunque Snape no lo apruebe,2,El que conecta la poción con otras cosas que sabe y encuentra su propio método,0,,
37,1,aprendizaje,1,Cuando cometes un error al aprender algo nuevo ¿cómo reaccionas?,Lo analizo en detalle para entender exactamente qué salió mal,5,Lo corrijo y sigo adelante sin darle demasiadas vueltas,3,Me frustra pero lo uso como impulso para intentarlo de nuevo,2,Lo integro naturalmente — los errores son parte de mi forma de aprender,0,,
38,1,sociabilidad,1,¿Cómo elegirías tu círculo social en Hogwarts?,Pocos amigos muy cercanos — prefiero vínculos profundos a tener muchos conocidos,0,Un grupo pequeño de confianza con alguna relación más amplia,2,Un grupo mediano variado — me gusta conocer gente diferente,4,Cuanta más gente mejor — me energiza conocer personas nuevas constantemente,5,,
39,1,sociabilidad,1,Después de un día largo de clases y actividades sociales ¿cómo te sientes?,Agotado — necesito tiempo a solas para recuperarme,0,Algo cansado — un rato solo me viene bien antes de volver,2,Bien — el contacto social no me drena especialmente,4,Con energía — las interacciones sociales me recargan,5,,
40,1,sociabilidad,1,En una fiesta en la sala común celebrando una victoria de Quidditch ¿dónde estás?,En mi habitación o en un rincón tranquilo — las fiestas me abruman,0,Allí pero en un grupo pequeño lejos del centro del ruido,2,Disfrutándola sin ser el centro de atención,4,En el centro — soy de los que animan la fiesta,5,,
41,1,propiocepcion,1,En tu primera clase de vuelo en escoba ¿cómo te fue?,Fatal — me costó muchísimo coordinar mi cuerpo con la escoba,0,Con dificultad pero fui mejorando poco a poco,2,Bien — me adapté con relativa facilidad,4,Natural — como si siempre hubiera sabido hacerlo,5,,
42,1,propiocepcion,1,¿Cómo es tu relación con tu cuerpo en el día a día?,Me tropiezo choco con las cosas y me cuesta coordinar movimientos,0,No soy especialmente hábil pero me defiendo,2,Tengo buena coordinación y conciencia de mi cuerpo,4,Mi cuerpo es una herramienta que controlo con precisión — me muevo con seguridad,5,,
43,1,propiocepcion,1,En una clase de Defensa contra las Artes Oscuras con movimientos precisos ¿cómo reaccionas?,Me cuesta mucho — los movimientos precisos no son lo mío,0,Necesito practicarlo más que los demás pero puedo aprenderlo,2,Lo aprendo con relativa facilidad,4,Lo domino rápido — los movimientos precisos me salen de forma natural,5,,
44,1,funcion_ejecutiva,1,Tienes tres trabajos para entregar la semana que viene ¿cómo lo gestionas?,Los dejo para el último momento — me cuesta empezar aunque sepa lo que hay que hacer,0,Lo intento organizar pero acabo improvisando más de lo que me gustaría,2,Me hago un plan y generalmente lo cumplo con algún ajuste,4,Lo organizo todo desde el principio con fechas y prioridades — me genera ansiedad no tenerlo bajo control,5,,
45,1,funcion_ejecutiva,1,Cuando tienes que hacer algo que no te apetece nada como estudiar Historia de la Magia ¿qué pasa?,Lo pospongo indefinidamente hasta que no queda más remedio,0,Lo hago pero necesito mucho esfuerzo para empezar,2,No me gusta pero lo gestiono sin demasiado drama,4,Lo hago aunque no me guste — sé que forma parte de lo que hay que hacer,5,,
46,1,funcion_ejecutiva,1,Cuando un plan cambia de repente ¿cómo reaccionas?,Me descoloca mucho — los cambios imprevistos me cuestan muchísimo,0,Me cuesta adaptarme pero puedo hacerlo con tiempo,2,Me adapto con relativa facilidad aunque prefiero tener un plan,4,Me adapto sin problema — la flexibilidad es uno de mis puntos fuertes,5,,
47,2,hiperfoco,1,Lyra lee el Aletiómetro sin haberlo estudiado nunca. ¿Cómo eres tú cuando algo te apasiona de verdad?,Me obsesiono completamente — aprendo solo más allá de lo que nadie me enseña,5,Me esfuerzo más que en otras cosas pero mantengo el equilibrio,3,Me gusta pero no me consume más que otras cosas,1,Pocas cosas me apasionan lo suficiente como para dedicarles tiempo extra,0,,
48,2,hiperfoco,1,Lord Asriel dedicó toda su vida a una sola misión. ¿Te identificas con esa forma de vivir?,Completamente — prefiero dedicarme en cuerpo y alma a una cosa que dispersarme,5,Me gustaría tener esa claridad pero me cuesta mantenerla,3,Prefiero tener varios intereses sin que ninguno lo consuma todo,1,La idea de obsesionarme con algo me agota solo de pensarlo,0,,
49,2,hiperfoco,1,¿Cuándo estás trabajando en algo que te interesa de verdad qué pasa con el tiempo?,Desaparece — me sorprendo cuando han pasado horas sin darme cuenta,5,Pasa rápido pero soy consciente de él,3,Lo llevo bastante bien aunque me guste lo que hago,1,El tiempo siempre se me hace largo independientemente de lo que haga,0,,
50,2,regulacion_emocional,1,Will carga solo con el cuidado de su madre desde niño sin derrumbarse. ¿Cómo gestionas tú las situaciones de mucha presión?,Me bloqueo o exploto — la presión me desborda completamente,0,Me cuesta mucho pero puedo seguir funcionando,2,La gestiono con esfuerzo — no es fácil pero no me paraliza,4,La presión me activa — funciono mejor cuando hay mucho en juego,5,,
51,2,regulacion_emocional,1,Cuando algo te parece profundamente injusto como le pasa a Lyra con la Iglesia ¿cómo reaccionas?,Exploto — no puedo evitar reaccionar con intensidad,0,Me afecta mucho pero consigo no perder el control,2,Lo proceso internamente y actúo cuando estoy calmado,4,Me indigno pero lo gestiono sin que me consuma,5,,
52,2,regulacion_emocional,1,Las brujas viven siglos aprendiendo a gestionar la pérdida. ¿Cuánto tiempo necesitas para recuperarte de algo que te ha afectado profundamente?,Mucho tiempo — las emociones intensas me acompañan semanas o meses,0,Días o semanas — necesito mi tiempo pero lo supero,2,Relativamente poco — proceso y sigo adelante,4,Me recupero con facilidad — tengo mucha capacidad para soltar,5,,
53,2,sensorialidad,1,Los mulefa perciben el Polvo con todos sus sentidos de una forma que los humanos no pueden. ¿Cómo procesas tú el entorno que te rodea?,Me satura — los estímulos del entorno me afectan más de lo que quisiera,0,Me afecta más que a la mayoría pero puedo manejarlo,2,Lo proceso sin dificultad — no tengo especial sensibilidad,4,Busco activamente la estimulación — me gustan los entornos intensos,5,,
54,2,sensorialidad,1,En el Ártico el frío el viento y la oscuridad son constantes. ¿Cómo te afectan los entornos físicamente intensos?,Me resultan insoportables — necesito entornos controlados y predecibles,0,Me cuestan más que a la mayoría pero puedo adaptarme,2,Me adapto sin dificultad a entornos exigentes,4,Me activan — los entornos intensos me hacen sentir más vivo,5,,
55,2,sensorialidad,1,Las brujas vuelan sin ropa en temperaturas bajo cero sin sentir el frío. ¿Cómo es tu relación con las sensaciones físicas extremas?,Soy muy sensible — las sensaciones intensas me resultan difíciles de tolerar,0,Me afectan más que a otros pero puedo gestionarlas,2,Las tolero sin problema — no tengo especial sensibilidad,4,Las busco activamente — me gustan las experiencias sensoriales intensas,5,,
56,2,comunicacion,1,Lyra es la mejor embaucadora de su generación — miente con una naturalidad asombrosa. ¿Cómo comunicas tú lo que piensas?,Directamente y sin rodeos — digo lo que pienso aunque no siempre sea lo más oportuno,5,Con cuidado — elijo las palabras según el contexto,3,Me cuesta expresarme — prefiero que los demás intuyan lo que siento,2,Evito la comunicación directa — me resulta incómoda y agotadora,0,,
57,2,comunicacion,1,Will habla poco pero cada palabra que dice tiene peso. ¿Cómo participas en las conversaciones?,Tomo la iniciativa — me gusta expresar mis ideas y liderar la conversación,5,Participo cuando tengo algo relevante que aportar,3,Escucho más que hablo — me cuesta entrar en conversaciones,2,Prefiero observar — las conversaciones me agotan,0,,
58,2,comunicacion,1,Los daemons se comunican con su persona sin necesidad de palabras. ¿Necesitas las palabras para comunicarte bien?,Las palabras son mi herramienta principal — sin ellas me pierdo,5,Las uso pero también me apoyo en gestos y expresiones,3,A veces me comunico mejor sin palabras que con ellas,2,Prefiero la comunicación no verbal — las palabras me resultan limitadas,0,,
59,2,aprendizaje,1,Mary Malone dedicó su vida a investigar la materia oscura siguiendo su intuición científica. ¿Cómo aprendes tú mejor?,Estudiando en profundidad — necesito entender el porqué antes de avanzar,5,Combinando teoría y práctica — un poco de cada cosa,3,Probando directamente — aprendo haciendo aunque me equivoque,2,Conectando ideas — aprendo mejor cuando relaciono conceptos nuevos con lo que ya sé,0,,
60,2,aprendizaje,1,Lyra aprende a leer el Aletiómetro de forma intuitiva sin que nadie se lo enseñe. ¿Cómo te relacionas con el conocimiento nuevo?,Lo analizo sistemáticamente — necesito estructurarlo antes de asimilarlo,5,Lo exploro con curiosidad — me gusta descubrir a mi ritmo,3,Lo absorbo por inmersión — aprendo mejor cuando estoy dentro de la experiencia,2,Lo conecto con otras cosas — el conocimiento aislado no me dice nada,0,,
61,2,aprendizaje,1,Will domina el cuchillo sutil en poco tiempo por pura necesidad. ¿Cómo respondes cuando tienes que aprender algo urgente?,Me bloqueo — la presión me impide aprender bien,0,Me cuesta más pero puedo hacerlo con tiempo,2,La urgencia me activa — aprendo más rápido cuando hay algo en juego,4,La presión no me afecta — aprendo igual con o sin urgencia,5,,
62,2,sociabilidad,1,Lyra conecta con cualquiera — gitanos del río osos acorazados brujas o niños. ¿Cómo es tu círculo social?,Pequeño y muy selectivo — prefiero pocos vínculos pero profundos,0,Un grupo pequeño de confianza con alguna relación más amplia,2,Variado — me gusta conocer personas muy diferentes entre sí,4,Cuanto más amplio mejor — me energiza conocer gente nueva constantemente,5,,
63,2,sociabilidad,1,Will pasa años cuidando a su madre en soledad casi absoluta. ¿Cómo te sientes después de mucho tiempo a solas?,Recargado — la soledad es mi forma de recuperar energía,0,Bien pero con ganas de algo de contacto social,2,Con ganas de compañía — la soledad prolongada me pesa,4,Incómodo — necesito contacto social para sentirme bien,5,,
64,2,sociabilidad,1,Las brujas forman clanes pero cada una mantiene su independencia individual. ¿Cómo te relacionas con los grupos?,Prefiero la independencia — los grupos me agotan,0,Pertenezco a un grupo pequeño pero mantengo mi espacio propio,2,Disfruto de los grupos — me siento cómodo en colectivo,4,Soy un animal social — necesito pertenecer a un grupo para funcionar bien,5,,
65,2,propiocepcion,1,Will aprende a manejar el cuchillo sutil en poco tiempo como si siempre lo hubiera sabido. ¿Cómo aprendes tú las habilidades físicas?,Me cuesta mucho — soy torpe y necesito mucha práctica,0,Con esfuerzo pero puedo aprender cualquier habilidad física,2,Con relativa facilidad — mi cuerpo responde bien,4,De forma natural — las habilidades físicas me salen solas,5,,
66,2,propiocepcion,1,Las brujas vuelan con una elegancia y control absolutos. ¿Cómo te mueves en el espacio físico?,Con dificultad — me choco con las cosas y me cuesta calcular distancias,0,Sin destacar — me muevo de forma funcional pero sin precisión especial,2,Con soltura — tengo buena conciencia espacial,4,Con naturalidad absoluta — el movimiento preciso me sale solo,5,,
67,2,propiocepcion,1,Iorek Byrnison conoce cada límite de su cuerpo en combate con precisión milimétrica. ¿Eres consciente de tu cuerpo y sus límites?,Poco — a menudo no soy consciente de mi postura o mis movimientos,0,Algo — me fijo en mi cuerpo cuando me lo recuerdan,2,Bastante — tengo buena conciencia corporal en general,4,Mucho — soy muy consciente de mi cuerpo y sus sensaciones en todo momento,5,,
68,2,funcion_ejecutiva,1,La Iglesia lleva siglos controlando el conocimiento con una planificación meticulosa. ¿Cómo organizas tú lo que tienes que hacer?,Lo dejo para el último momento — empezar es lo que más me cuesta,0,Lo intento organizar pero acabo improvisando más de lo que me gustaría,2,Me hago un plan y generalmente lo cumplo con algún ajuste,4,Lo organizo todo desde el principio — no tener un plan me genera ansiedad,5,,
69,2,funcion_ejecutiva,1,Lord Asriel planifica durante décadas su guerra contra la Autoridad sin desviarse nunca de su objetivo. ¿Cómo mantienes tus objetivos a largo plazo?,Me cuesta mantenerlos — me distraigo o los abandono con facilidad,0,Los mantengo con esfuerzo pero necesito recordatorios constantes,2,Los sigo con relativa constancia aunque con algún desvío,4,Una vez me fijo un objetivo lo persigo sin perderlo de vista,5,,
70,2,funcion_ejecutiva,1,Lyra se adapta a cualquier situación imprevista — de Oxford al Ártico sin inmutarse. ¿Cómo gestionas los cambios inesperados?,Me descolocan mucho — los imprevistos me cuestan muchísimo,0,Me cuesta adaptarme pero puedo hacerlo con tiempo,2,Me adapto con relativa facilidad aunque prefiero tener un plan,4,Me adapto sin problema — la flexibilidad es uno de mis puntos fuertes,5,,
71,3,hiperfoco,1,Cuando descubres un nuevo tipo de Pokémon que te fascina...,Me olvido de comer dormir y de todo lo demás hasta saberlo todo sobre él,5,Le dedico mucho tiempo pero puedo seguir haciendo otras cosas,4,Me interesa y busco algo de información,2,Lo anoto y sigo con mi camino,0,,
72,3,hiperfoco,1,Ash tiene un objetivo claro: ser Maestro Pokémon. ¿Y tú?,Tengo una meta que ocupa casi todos mis pensamientos,5,Tengo intereses fuertes pero varios a la vez,4,Me interesan muchas cosas sin una favorita clara,2,Voy descubriendo sin un objetivo fijo,0,,
73,3,hiperfoco,1,Cuando hablas de tu tema favorito con alguien...,Puedo hablar horas y me cuesta parar aunque el otro pierda interés,5,Me emociono mucho pero sé cuándo parar,4,Comparto lo básico y espero que pregunte más,2,Solo hablo de ello si me preguntan directamente,0,,
74,3,regulacion_emocional,1,Jessie explota cada vez que Ash le escapa. ¿Tú cómo reaccionas cuando algo sale muy mal?,Como Jessie — exploto al momento y necesito tiempo para calmarme,0,Me enfado bastante pero no monto un drama,2,Me frustra pero en un rato ya estoy bien,4,Como Brock — lo proceso con calma y busco qué mejorar,5,,
75,3,regulacion_emocional,1,Tu Pokémon acaba de perder una batalla que parecía ganada. ¿Qué sientes?,Me derrumbo como Dawn después de un mal concurso no puedo pensar en otra cosa,0,Me afecta mucho pero sigo funcionando,2,Me molesta un momento y enseguida busco cómo mejorar,4,Lo acepto le doy las gracias a mi Pokémon y seguimos,5,,
76,3,regulacion_emocional,1,Estás en plena ruta y alguien del grupo dice algo que te molesta. ¿Qué haces?,Lo suelto al momento como Misty — sin filtro,0,Me lo callo pero le doy vueltas durante horas,2,Espero el momento y lo hablo con calma,4,Si no es importante lo dejo pasar y sigo caminando,5,,
77,3,sensorialidad,1,Llegas a una ciudad nueva llena de ruidos luces y gente. ¿Cómo te sientes?,Me agobia mucho necesito salir de ahí cuanto antes,5,Me cansa bastante pero puedo aguantar un rato,4,Me activa y me pone de buen humor,2,Como Ash entrando a Ciudad Carmín — ni me fijo a por el gimnasio,0,,
78,3,sensorialidad,1,Estás en el Centro Pokémon descansando. ¿Qué necesitas para estar bien?,Silencio total sin ruidos ni luces fuertes,5,Un ambiente tranquilo pero no necesito aislamiento total,4,Me da igual el ambiente me adapto fácil,2,Cuanta más actividad alrededor mejor me aburre el silencio,0,,
79,3,sensorialidad,1,Sylveon percibe las emociones y el entorno a través de sus cintas con una sensibilidad extrema. ¿Y tú cómo percibes el mundo?,Como Sylveon — noto todo texturas olores sonidos más que la mayoría,5,Como Haunter — bastante sensible pero no me desborda,4,Como Geodude — lo normal no me fijo especialmente,2,Como Tauros — necesito estímulos fuertes para prestar atención,0,,
